rounds,accuracy,kappa,f1_score,roc_auc
1,0.3544,0.28295206496214925,0.3294528749933845,0.8043767529187094
2,0.445,0.38244770673532374,0.43176191958274823,0.8393858360520451
3,0.4784,0.4203960121394533,0.4719062482760013,0.8509934028498024
4,0.5068,0.4522447669606064,0.5015292659172291,0.8598734281831166
5,0.5176,0.4641616637881515,0.5087304315328559,0.8660028556132174
6,0.5528,0.503009916359166,0.5476738647259592,0.8718713757079993
7,0.5586,0.5094531187346807,0.5524920244059237,0.8748379158914322
8,0.5718,0.5239648544532883,0.5649175364745574,0.8760560067957415
9,0.5758,0.5287058021790794,0.5758270230252623,0.8802988709085281
10,0.5926,0.5471508561749855,0.5912050546106707,0.8827363976688865
11,0.5906,0.5451298909207453,0.5876038967738252,0.8825436398107067
12,0.6008,0.556207126875046,0.6009969825750543,0.8829649192739465
13,0.6012,0.5566453769455936,0.5987151266518327,0.8835259210723249
14,0.6048,0.56080866043302,0.6025662827563694,0.8882264207598373
15,0.6134,0.570322770404237,0.6113272717044159,0.887195519174358
16,0.6296,0.5881553605438745,0.6291927169329734,0.8902735300488088
17,0.6288,0.5872911712915055,0.6240127053508184,0.8904993341527428
18,0.627,0.5853448514271092,0.6223301702440164,0.8915571162450108
19,0.6118,0.5684281251685321,0.6133501578321856,0.8868236604774101
20,0.6322,0.5912518894880704,0.6300786791051642,0.8890374560746868
21,0.63,0.5886519192066686,0.6307273310579931,0.8900805772078259
22,0.6344,0.5936134497383999,0.6334221050171752,0.8899711305694067
23,0.6314,0.5900487190694008,0.6307633419017042,0.8882784364227028
24,0.624,0.5821560724335582,0.6185915750692487,0.8893171237085824
25,0.6276,0.585998946754776,0.6270727211752608,0.8878003969266424
26,0.6174,0.5748126741030797,0.6200318004100045,0.8869638549122854
27,0.631,0.5897066680151396,0.626859795038571,0.8884904849762757
28,0.6294,0.5879894025407626,0.6279443487522308,0.8874368181264847
29,0.6188,0.5762250607911197,0.616597569994034,0.8871666200503509
30,0.6248,0.5828723846591155,0.6222304780245177,0.8865940167952298
31,0.6232,0.5812397879982716,0.6226570085305234,0.8853765337479755
32,0.6226,0.5805850067239495,0.62423370230474,0.8854322934113797
33,0.6158,0.5729305576923035,0.6144573207316945,0.8840738387927498
34,0.6226,0.5805460745100474,0.6217604756141613,0.8850911882341079
35,0.6256,0.5838973686172395,0.6251161389967861,0.8848575272021797
36,0.6218,0.5796641109018341,0.6204427239023711,0.8843185970595999
37,0.6202,0.5779438661957598,0.6183784986826878,0.883465649810226
38,0.6146,0.5716593933921286,0.6141650987092777,0.883573815559017
39,0.6248,0.5830598692673166,0.6256551785017905,0.8824826482035684
40,0.6224,0.5802023794449062,0.6209118856952236,0.8834183578653385
41,0.623,0.5807751997450469,0.622501529104734,0.88565202943276
42,0.6184,0.5759075359601107,0.6186842180270758,0.8818341970144639
43,0.6156,0.5727948290631795,0.613404966909967,0.8818668051790555
44,0.6178,0.5750852876957964,0.6172582458595975,0.8773854460081814
45,0.6144,0.5715198688557408,0.6130550333511826,0.8799111883875176
46,0.6264,0.5847837148353595,0.6261696956465302,0.8817671538200792
47,0.6118,0.5686074494024848,0.6126770940744761,0.8776698935805676
48,0.6202,0.5779525827415621,0.6205717750314032,0.880357691550212
49,0.6132,0.5701542983395795,0.6134960994230131,0.8786786269636752
50,0.6108,0.5674843935133354,0.6071006733933254,0.8766100410491535
