rounds,accuracy,kappa,f1_score,roc_auc
1,0.3494,0.27667833599411396,0.31921283032850123,0.8000525152858466
2,0.4338,0.37096858188130993,0.4179027206228825,0.8340817300181547
3,0.482,0.4238983431696917,0.4719552515149908,0.8473167904906133
4,0.5046,0.44924800966180584,0.49785158502069826,0.8570853955716533
5,0.5452,0.4941790159859188,0.5428877322800216,0.8684041133119498
6,0.55,0.49944667648525454,0.5450394968762211,0.8705111808412761
7,0.5606,0.5111663365732606,0.5524246200740783,0.874728624933119
8,0.5796,0.5324604759876861,0.5800424812337474,0.8783329093658464
9,0.5836,0.5371742120511395,0.5793309241916166,0.8805084713896425
10,0.5822,0.5356900200647904,0.5776784528701591,0.8820748375208309
11,0.6022,0.5576015472133061,0.5967519294155712,0.8859263946899532
12,0.603,0.5585224871580368,0.5995093984153491,0.8875470073393994
13,0.6166,0.5738105430208329,0.6143248534904293,0.8898174810529005
14,0.6124,0.569161180389537,0.6102816800145336,0.8891597620889137
15,0.6132,0.5699992424529143,0.6107857011128917,0.8896172911636797
16,0.6214,0.579209593602515,0.6192686532150057,0.8915279884436949
17,0.6126,0.5695666103215482,0.6092030945536178,0.8906740795450067
18,0.6156,0.5724947294069285,0.6130546431912772,0.8916550272977817
19,0.6212,0.5790523133667641,0.6196877966180709,0.8916358857707993
20,0.6292,0.5878336143867724,0.6268795128942761,0.891550036006044
21,0.6212,0.5788691275836981,0.6187852784635712,0.8921064853652546
22,0.6342,0.5934033429138336,0.631798071064824,0.8921397795342672
23,0.6274,0.5857681714432466,0.6268885011408957,0.8918750349320431
24,0.6236,0.5816867733781746,0.622357729618586,0.8906300580577173
25,0.6314,0.5902488028245505,0.6307212026116226,0.8909396724881812
26,0.6262,0.5844780519321177,0.6253858738816027,0.8902433471263015
27,0.6254,0.5835640471427403,0.6257841685706089,0.8880994401659303
28,0.631,0.5897338280353158,0.6296612242775326,0.8903278912630249
29,0.6288,0.5874734276240935,0.6306451640220218,0.8878767976261733
30,0.6316,0.5902830726441051,0.6319998123485359,0.8877783855779442
31,0.6196,0.5770291920782902,0.6197943457049916,0.8867520631951271
32,0.6282,0.5867195692098608,0.6269926807008244,0.8852611420306264
33,0.6222,0.5801440832934145,0.6200168705345068,0.8851078372406795
34,0.6248,0.5830829424123418,0.624519144328626,0.884313103108352
35,0.6326,0.5917650570927324,0.6333352477050537,0.8831106307545692
36,0.6238,0.5818361114719229,0.6241701938484332,0.8835135586696131
37,0.6216,0.5794448755510186,0.6212023028947584,0.8837789236271456
38,0.6178,0.5752893328649877,0.6194885550482829,0.880512941255598
39,0.6154,0.5726147398209441,0.6183357525767331,0.8804627817381846
40,0.6236,0.5815335496366183,0.626263949097974,0.8814627178567304
41,0.6136,0.5704368248492666,0.6159130292026239,0.8820605131144188
42,0.6126,0.5695202722169972,0.613519358268621,0.8783833839677433
43,0.6158,0.5728965997249766,0.6162950404757923,0.8794746962026228
44,0.6158,0.5730670141042299,0.6168681828860519,0.8776933948756972
45,0.6166,0.5739249333877304,0.6145965398054988,0.8768214907191088
46,0.6152,0.5723380362022614,0.6151433009308065,0.8761671943633245
47,0.6156,0.5728514250261093,0.6158440106193712,0.8762912535347347
48,0.6102,0.5668721796449818,0.6099997748254071,0.8753231380060479
49,0.6146,0.5715894539645046,0.6148301491691722,0.877192211565176
50,0.6084,0.5647475994488488,0.6095819667863311,0.8748200442201988
