rounds,accuracy,kappa,f1_score,roc_auc
1,0.3396,0.26589694375411543,0.3280522259019347,0.7848320166266751
2,0.4202,0.3555339157666678,0.4016149886980163,0.8222631903120513
3,0.4432,0.38183453870346357,0.43862129366824204,0.8327271496863093
4,0.4812,0.42365323889397094,0.4805115119866052,0.8486282267059718
5,0.4876,0.4308193881821301,0.4855574914970793,0.8521924006529381
6,0.517,0.46342299646063073,0.5081753036848827,0.8575909549837057
7,0.5408,0.48979214019786443,0.5400454995561861,0.8635966469586847
8,0.5464,0.49631722304168496,0.5445724291439072,0.8667360470686577
9,0.5446,0.49417290229745414,0.5480099644849552,0.8684476964727778
10,0.5596,0.5106580368508525,0.5610984438755479,0.872791803032956
11,0.5632,0.5145781750048416,0.5677081497456448,0.8691969023237603
12,0.5738,0.5265522482484706,0.576980795137704,0.8717364604158869
13,0.5706,0.5231601598463484,0.5653337134321593,0.8714086879686527
14,0.5976,0.5527924508410531,0.5957407963011941,0.8721810970995021
15,0.5952,0.5501086985200878,0.5938325326773273,0.8780069186422421
16,0.592,0.5465684473372764,0.5921728168176346,0.876909934928609
17,0.5988,0.5542283445915526,0.6019405188812883,0.8783435154737325
18,0.6022,0.5579591649704103,0.6029436411734008,0.8783328333304479
19,0.6114,0.5681039977673601,0.6120500413823067,0.8800538298886095
20,0.5998,0.5553606452601534,0.6008578575007559,0.8772935320574022
21,0.6048,0.5608464860132201,0.6070307389278135,0.8818183781352856
22,0.6054,0.5614415363116564,0.610238325638707,0.8796611913821649
23,0.6032,0.5590747641288338,0.6065474977801212,0.875658637354671
24,0.6116,0.5685155719256647,0.6152099806488867,0.8813541611471639
25,0.6208,0.5786432135360178,0.6222591449428398,0.8783799692935798
26,0.621,0.5788286218915918,0.6219455991209697,0.8799947604126984
27,0.6112,0.5680771047154788,0.6127806429502686,0.8787811392603136
28,0.6122,0.5691302757392549,0.6150147961176368,0.8761879731709383
29,0.6078,0.5641829044619102,0.6101319664106595,0.8758758797834675
30,0.6258,0.5841332076642967,0.6295807104673207,0.8787251449137348
31,0.6236,0.5816945029108296,0.6251875622889366,0.8767453290216044
32,0.6162,0.5735540935753931,0.619473736250572,0.8752126493680756
33,0.612,0.5689153476248342,0.6146783331445779,0.8742048106980416
34,0.6118,0.5686977500910091,0.6150938823274759,0.8764515415843134
35,0.6208,0.5786622280549669,0.6240113506338386,0.8758926564904176
36,0.6106,0.5674514650123736,0.6131630678859925,0.8727478608067604
37,0.619,0.5765405788250462,0.6203473477382242,0.8745842627158443
38,0.6134,0.5704760758682454,0.6147831781019152,0.8715433288054218
39,0.6298,0.5884653527226609,0.6298791251109825,0.8748929862983957
40,0.606,0.5622932584074156,0.6090272330810782,0.870838019320442
41,0.6138,0.5706644783694951,0.6169328357848594,0.8731189361177407
42,0.6086,0.5651500147002593,0.6090996804604165,0.8667418602619473
43,0.6064,0.5629005366131665,0.607872356563436,0.8637831088777875
44,0.6016,0.5573592278488387,0.606755318223021,0.867128957602427
45,0.5982,0.5535992232408937,0.5999513414527367,0.8659141956601021
46,0.5968,0.5521090267612921,0.6005944454585319,0.865448837948474
47,0.6072,0.5633979189816863,0.611262996521833,0.8671704072126318
48,0.5976,0.5529735605169719,0.6015637231836782,0.8638347307730216
49,0.582,0.5356088037860872,0.5868859767123552,0.8604828581834428
50,0.6034,0.5593578720199406,0.6037782314170921,0.8658416624498264
