rounds,accuracy,kappa,f1_score,roc_auc
1,0.2498500899460324,0.15938640049261452,0.14855994877995787,0.7722488959234756
2,0.41255246851888866,0.3355927964873885,0.32954556722479555,0.8210080217430347
3,0.4527283629822107,0.37955403460532344,0.37028921910710916,0.8436021578275228
4,0.4699180491704977,0.3989129519733186,0.40398684053062583,0.8488958215067314
5,0.49570257845292826,0.42724937242118627,0.4187673924062542,0.8586973419989266
6,0.535078952628423,0.47144160776194466,0.46612284150949923,0.8610992673046186
7,0.5320807515490705,0.468162473425723,0.47286255865352744,0.8637084387125203
8,0.5606636018388966,0.4994339432652843,0.498503684131981,0.8727952999300934
9,0.5524685188886668,0.4897582095144497,0.4853637844416929,0.8699954380326995
10,0.5726564061563062,0.5121800837722289,0.5064012904432537,0.8758586608646227
11,0.5764541275234859,0.5164602092900263,0.5143727278223741,0.8799445623245082
12,0.5690585648610833,0.5079168409532729,0.5013361570847675,0.8714656309445769
13,0.5896462122726365,0.5314699646122798,0.5270672375437228,0.8795214825279016
14,0.6008394963022187,0.5440463787243621,0.5372452245205112,0.8808347981810829
15,0.5936438137117729,0.535837483487895,0.5316190229421154,0.8774136841227209
16,0.6034379372376574,0.5469782994849217,0.5386608390728498,0.8767653963340225
17,0.5936438137117729,0.5350649869897561,0.5195452139005309,0.8726016977891563
18,0.6064361383170098,0.5503839568911969,0.5411561035654016,0.883556430079514
19,0.6160303817709374,0.5609126444742566,0.5478058853595436,0.8798362585033895
20,0.618828702778333,0.5640087740710966,0.552241533497566,0.8822964803717823
21,0.5996402158704777,0.5424149953318553,0.5290509723116668,0.8787977283366294
22,0.6114331401159304,0.5557532824853582,0.5467878217542976,0.881283116588145
23,0.6022386568059165,0.5454682593712529,0.534719778589699,0.8776609475173962
24,0.606236258245053,0.5501713354722247,0.5447954779435454,0.8774927954510565
25,0.6086348191085349,0.5523641203385647,0.5440241332667277,0.876156946458702
26,0.61083349990006,0.5548105431788464,0.5462373435159702,0.881886963356007
27,0.61083349990006,0.5551525762034548,0.5505079229853913,0.8778770331174486
28,0.6114331401159304,0.5556731025754112,0.5477624275352079,0.8794720552413414
29,0.5974415350789526,0.539527318054445,0.5316760915474049,0.8726236497100475
30,0.6172296622026784,0.5628388477214261,0.5565111347543212,0.8768152910795469
31,0.606236258245053,0.5500757596576663,0.5424461065464435,0.87617999076118
32,0.6058364981011393,0.5499677101338157,0.5487253246481122,0.8751668248050801
33,0.6080351788926645,0.5518048558861821,0.5421196409593588,0.8728708708772326
34,0.6178293024185488,0.5624885430674652,0.5505258090625932,0.8726482225439852
35,0.6026384169498301,0.5458814800392084,0.5404534492979822,0.8748964681637075
36,0.6124325404757146,0.5570134410818062,0.5492254414140088,0.8767428693468999
37,0.5930441734959024,0.5357214165177007,0.5336813618272588,0.8722496175329456
38,0.6064361383170098,0.5498125077821723,0.5401586614782541,0.8707457361004147
39,0.6010393763741755,0.5445473525554708,0.5422522342194985,0.871199576447425
40,0.6006396162302619,0.5440075701401991,0.5374501558669711,0.8691774582688881
41,0.5990405756546072,0.5421185619516087,0.5371637283782247,0.8686609528692177
42,0.6030381770937437,0.5471012705136885,0.5465071132719537,0.8706102681315818
43,0.59824105536678,0.5410223197530559,0.5323997732323585,0.8682851963999526
44,0.5882470517689387,0.5295430746851926,0.526368778403411,0.8669334644014304
45,0.5948430941435139,0.537228020883458,0.5311109111358305,0.8659427383173115
46,0.59824105536678,0.5412370568558114,0.5376302221084782,0.869364373427668
47,0.5900459724165501,0.5318763816717708,0.527642955570478,0.86718115532242
48,0.5862482510493704,0.5277265014390234,0.5238654498963349,0.8671004692224732
49,0.5840495702578453,0.5253267387279623,0.5222529422309117,0.8635427329988552
50,0.5868478912652408,0.5285549631182457,0.5235279178266374,0.8630860441725194
