rounds,accuracy,kappa,f1_score,roc_auc
1,0.3622,0.2909491623469363,0.340343408536819,0.7886677080818251
2,0.3672,0.2972606622106066,0.329170891492561,0.7974456038480328
3,0.3582,0.2881642823335098,0.3331375945691767,0.8027278393197614
4,0.3794,0.3109873612009635,0.35970396600131666,0.807208776161608
5,0.4124,0.34690525282553364,0.39947951317583336,0.8086468972484991
6,0.4334,0.37088223546666543,0.41912542695268284,0.8174130396372246
7,0.4318,0.3688529140975602,0.42407091776203154,0.822698691060512
8,0.4564,0.39665549678991513,0.4482356820313544,0.827629653806193
9,0.4506,0.3897005214857359,0.44362124921016505,0.8288202765935554
10,0.4436,0.3822460048210808,0.43026795868314294,0.8282450857713118
11,0.4672,0.40828439900930236,0.46270425082074745,0.8341249739051374
12,0.4574,0.3980002686632415,0.44710247094224315,0.8368969827295423
13,0.476,0.4181144982124909,0.46404781050218197,0.8396410940270725
14,0.4644,0.40528067563232467,0.4601070328964338,0.8359135861017268
15,0.475,0.4170053992274251,0.4755278554896947,0.838560779998693
16,0.4684,0.4096421910731144,0.4591082070454759,0.8390608096536868
17,0.5058,0.4514338495954815,0.5038419960263826,0.8471079896589585
18,0.4738,0.41576037034657665,0.4736110780117543,0.8442099428800184
19,0.472,0.41383463782369834,0.4711907870225855,0.8404866277770594
20,0.4626,0.4035597084980957,0.45343863934122863,0.8446648398446216
21,0.4886,0.43237211704077316,0.4825819167744403,0.8418578927870222
22,0.4736,0.41578334962051866,0.4717604921260553,0.8381934763452457
23,0.4754,0.4176230943827497,0.4701171582587577,0.8417497310005945
24,0.464,0.40490245227265503,0.461131705157147,0.8401722173467351
25,0.5026,0.4477070358320148,0.5004006439578368,0.8454668684344051
26,0.47,0.4120151026448699,0.46504440201886743,0.8374657526398445
27,0.5046,0.45011883390599594,0.5023092797323381,0.8416360654128544
28,0.4994,0.44401341633845787,0.50013892106637,0.8401374095612113
29,0.4904,0.4343921615157483,0.48098382034256904,0.8391216475753698
30,0.4716,0.4133847597030248,0.4673736171829786,0.8369256699307207
31,0.4604,0.4014031422086176,0.453579957016618,0.8369726111041355
32,0.4894,0.4332308707199013,0.4854343149411775,0.8338881046276904
33,0.4674,0.408983203442917,0.46722984578218674,0.8321775533272892
34,0.4526,0.3923160090635931,0.44588354218309495,0.8331009967579662
35,0.4824,0.42547561563744146,0.4842388483243887,0.8319012650198511
36,0.4606,0.40094063852361467,0.45606723912382985,0.8324085147212062
37,0.496,0.4401910358748369,0.48638809130277794,0.8374576723594722
38,0.4582,0.39852802324279163,0.4539899557348294,0.8327221923005327
39,0.4536,0.3935333232612943,0.44928162130035615,0.8325052124205907
40,0.4534,0.3932523652272959,0.4462610777556731,0.831337426115555
41,0.4408,0.37903002456292584,0.4398890227145695,0.83077769953038
42,0.4478,0.3870921495122248,0.4509169772846333,0.8332862797660789
43,0.4548,0.3948123485476681,0.454252321907971,0.8323606398046984
44,0.462,0.4027854104922259,0.458658595114678,0.8314198650264342
45,0.4494,0.38848603028299256,0.4526086923320494,0.8300911620782238
46,0.44,0.3785031400961226,0.43674961225382286,0.8266011898612217
47,0.4544,0.394401376795578,0.45102941336377633,0.829943810927489
48,0.461,0.4017533571141279,0.45511792150604136,0.8309408401885068
49,0.462,0.4029598783333713,0.45115994735672604,0.8298904082670319
50,0.4516,0.3914767187156906,0.44850440037676725,0.8257780616265612
