rounds,accuracy,kappa,f1_score,roc_auc
1,0.21647011792924245,0.1254721657994302,0.11775514927347093,0.7362469813786843
2,0.260643613831701,0.1719896727978622,0.17296607469614247,0.7609630655653549
3,0.2802318608834699,0.19243127831220755,0.19351096129556866,0.7760018124208399
4,0.30541674995003,0.21897143399251065,0.2193313452906691,0.7908481662662686
5,0.3314011593044173,0.24655561071622775,0.2545459942453472,0.7994705928799476
6,0.33619828103138116,0.25187917568321694,0.2631897378042378,0.8049604998137752
7,0.37317609434339394,0.29252174565053,0.2980686755081496,0.8173066130053177
8,0.3725764541275235,0.29122271845161873,0.3030784219310671,0.8217893722734828
9,0.3735758544873076,0.2920761661841582,0.3088016162080211,0.818423977432797
10,0.3895662602438537,0.308701953734075,0.3178238130602911,0.8230222474089768
11,0.39616230261842894,0.31612217781848273,0.3315088294582896,0.8276782357930216
12,0.4097541475114931,0.33122284578907496,0.35682818460504606,0.8294491636309331
13,0.381171297221667,0.29971393663369295,0.31164350523167184,0.8246072446269851
14,0.37757345592644415,0.29662415627172156,0.32602004876610846,0.8255918735868288
15,0.4097541475114931,0.33107723613636236,0.354390879973345,0.8309547637084461
16,0.3989606236258245,0.31976345526823086,0.3396497895023334,0.8283650032750458
17,0.40915450729562264,0.3305813697179999,0.35335765876164504,0.8238637118286655
18,0.39076554067559466,0.3098547102671017,0.33034755516521963,0.8254299327919888
19,0.39856086348191083,0.31967219577287664,0.3450262271952339,0.8263010385287609
20,0.39336398161103336,0.3133182626220259,0.33092138831143053,0.8264869387230416
21,0.42494503298021186,0.3479562970573169,0.37108552573636233,0.8299218556075899
22,0.390365780531681,0.30953840051174814,0.3397858684921036,0.8256627207312328
23,0.4189486308215071,0.34245977602380323,0.36683656394488057,0.830055722612561
24,0.39016590045972416,0.30870826701419174,0.3252676257270722,0.8222980288331322
25,0.4139516290225865,0.33553884319156363,0.3542142949373029,0.8265668209841591
26,0.4067559464321407,0.32842546305536513,0.35464931090301316,0.8264437045793691
27,0.3865680591645013,0.30621751932960756,0.3378779296347678,0.8218593220206004
28,0.39656206276234257,0.3168901593216508,0.3426374643970536,0.823916660924393
29,0.39776134319408357,0.31829277241825826,0.3405385389244513,0.8240995804408832
30,0.4263441934839097,0.349173857485863,0.3668365471668416,0.8272578896368756
31,0.4237457525484709,0.34633407412002015,0.3641385808679368,0.824032245633401
32,0.3879672196681991,0.3074820960975942,0.3383578005405041,0.8245429284752037
33,0.4139516290225865,0.33632294649412803,0.3658572011901315,0.8227401029222514
34,0.3919648211073356,0.3128058759273751,0.3396061075890446,0.8230455563530223
35,0.4335398760743554,0.3572350817938766,0.3690300891896175,0.826390067655593
36,0.39336398161103336,0.3138368242205268,0.3416531870259009,0.8185002020624864
37,0.4065560663601839,0.32895439674856386,0.3513735309504872,0.8201951305220406
38,0.4299420347791325,0.35353415600866694,0.37770924076248313,0.8257510871688227
39,0.3973615830501699,0.3177418013004189,0.3436972336616177,0.816965770892958
40,0.42314611233260047,0.34571304993652063,0.3666718128312958,0.8196328238355798
41,0.3927643413951629,0.312515586262236,0.3348612674173069,0.8157569120269809
42,0.3979612232660404,0.31855580801184813,0.3458390390274414,0.816983581740441
43,0.41615030981411155,0.3388148844930108,0.36162031311347975,0.8145861217956251
44,0.3887667399560264,0.30833159448667496,0.33205428893184047,0.8116034367271883
45,0.367379572256646,0.2858373148303144,0.3145679150315134,0.8102937809958215
46,0.40595642614431343,0.3274627050711919,0.35742256719075427,0.8158176438953043
47,0.39236458125124923,0.3125972951842606,0.34653128921347154,0.8114179663356099
48,0.38636817909254445,0.30557830361108973,0.33759911650102326,0.8137218759616964
49,0.37777333599840096,0.2958346270360738,0.3261122653595097,0.8132221123082354
50,0.40315810513691785,0.3250252295340995,0.3489410275972429,0.8119225767222872
