rounds,accuracy,kappa,f1_score,roc_auc
1,0.302,0.22391787461678914,0.2643417961316437,0.782459344899397
2,0.4096,0.34368046660435286,0.39416274271088236,0.8161752326298803
3,0.4198,0.3546117145232838,0.3940786621962726,0.8251518665035501
4,0.445,0.38318950767004223,0.43684779224133147,0.8370994976367132
5,0.469,0.40985694402093925,0.45403049170251386,0.847766589172191
6,0.4794,0.4215131665414082,0.4542122029631557,0.851767712844651
7,0.4932,0.43684310356733597,0.4901014395532815,0.8583549648402219
8,0.514,0.4600481325428856,0.5045652687183879,0.8593600614958459
9,0.5256,0.4727537446894643,0.5222198163261548,0.8643987727236437
10,0.535,0.4830454335579426,0.526164429921063,0.8696122966442336
11,0.545,0.49403917965175626,0.5321754806318811,0.8711006187272169
12,0.5548,0.5052273384158734,0.5547421027620206,0.8747483541968286
13,0.563,0.5143078803661487,0.5583065093495135,0.8754353073154969
14,0.5712,0.523124295134144,0.562487866920344,0.8787684346643948
15,0.567,0.5187298894000942,0.5633298500989729,0.8776746314323506
16,0.5774,0.530325781859211,0.5765143960525887,0.8816217404619688
17,0.5742,0.5270049577435271,0.5711188607181785,0.8842007175813822
18,0.5804,0.5333197713986908,0.5757831022512109,0.8830833845786498
19,0.5802,0.5331479810220838,0.5734215261323041,0.8833402274414677
20,0.5878,0.541207532004077,0.5882121560527195,0.8852366684574224
21,0.5952,0.5498258779963745,0.5930678907782115,0.8877595447878018
22,0.5982,0.5535381535809621,0.5961787290808644,0.8866829814917025
23,0.5988,0.5540506804772946,0.597135429275903,0.8879496907980858
24,0.6056,0.5616156423223252,0.6021090056879721,0.8896395228643785
25,0.6112,0.567721496058332,0.6100095195062601,0.8866516525849091
26,0.6094,0.5658273175961105,0.6054997846036756,0.88998476530319
27,0.606,0.5620060020852499,0.6053989874291702,0.8903507913308943
28,0.6198,0.5773367678972247,0.6197404640475211,0.8908737335268383
29,0.6114,0.5680803961193109,0.6068621962492216,0.8891064801228
30,0.6188,0.5760818161745853,0.6159488483781876,0.890339458330436
31,0.6182,0.5757628482761327,0.6136694024652374,0.8916588456920901
32,0.6174,0.574712466153211,0.6194644612979018,0.8912243944965856
33,0.622,0.5796809255031853,0.6177455006894991,0.8914372929691675
34,0.6248,0.5829825736532189,0.6224399160117702,0.8917769598375187
35,0.6252,0.5834974656182914,0.6240666947244002,0.8907154693769905
36,0.6204,0.5781107266659308,0.6179736197570493,0.8898747610767821
37,0.6244,0.5825122976690794,0.6208910545299502,0.8915733842852956
38,0.633,0.5920798418979286,0.629172145939467,0.8907454834602064
39,0.6274,0.5858909280712682,0.6260944381229603,0.892171070580372
40,0.6372,0.5965988959817105,0.6358633925289011,0.8921323054904223
41,0.633,0.5920048310919679,0.6301916842825072,0.8922818949713214
42,0.629,0.5873942298782494,0.6255406543123475,0.8900559929643632
43,0.6348,0.5939833036688745,0.6340298018041399,0.8906839332690786
44,0.6372,0.5968039914805844,0.6346071107695387,0.8913261650192464
45,0.6438,0.6039638089392866,0.6415417041447559,0.892627088425727
46,0.6346,0.5937416723745812,0.6299971110581453,0.890529145546829
47,0.635,0.5941323675151305,0.6347078628201065,0.892446981060067
48,0.6366,0.596056702806483,0.6354739780205056,0.8914928417741478
49,0.6306,0.589376427377175,0.6299069353600487,0.8924308450665436
50,0.6378,0.5971638264101344,0.6402433799511693,0.8922623766794826
