rounds,accuracy,kappa,f1_score,roc_auc
1,0.3102,0.23548783823134364,0.2907909902812197,0.7803307615896359
2,0.41,0.34407044394664166,0.3923208325920206,0.8170388380954904
3,0.4344,0.37138062178549586,0.4276919142018564,0.8282467458696546
4,0.4478,0.3865577013065521,0.4342733149878455,0.8374375375004772
5,0.4744,0.415536482863517,0.46759693386920614,0.8439773118596787
6,0.4944,0.43770787417778284,0.48700238165535914,0.8523269567588397
7,0.5024,0.4470317520751817,0.4919064356955395,0.8589064387618999
8,0.5234,0.4701417916826513,0.5169511480089017,0.861084106277408
9,0.5194,0.46572188893568156,0.5061324550586948,0.8619244549771301
10,0.5366,0.48456864218333123,0.5266526308943017,0.8678209308351077
11,0.54,0.4889205494263126,0.5370821829231262,0.8705515701861277
12,0.5488,0.498423589135669,0.5437017440482941,0.8725060847191538
13,0.547,0.4965952676310784,0.544747052992321,0.8743344875442591
14,0.5566,0.5071111480414531,0.5522838482036236,0.8744081521406908
15,0.5646,0.516105143317802,0.5591528823076687,0.8786907563228104
16,0.5744,0.52675614878946,0.572140409906323,0.879303882182537
17,0.5702,0.5219568351278766,0.5676595509555409,0.882090312615306
18,0.5776,0.5303703629494244,0.5714015680655344,0.8802641461399467
19,0.5838,0.5372360632440707,0.5769547068622095,0.8810161689936044
20,0.5838,0.5371938730730974,0.5775777692451758,0.8862671530199326
21,0.5794,0.5324115745278323,0.5761737332606562,0.8840378175129665
22,0.5876,0.5413607817708601,0.584810054587626,0.8847448197657188
23,0.5982,0.5532687896556988,0.5950153699153611,0.8866401992287767
24,0.5914,0.545477818543084,0.5900042674698354,0.8861691304802807
25,0.6046,0.5604348316791656,0.6018107331766662,0.8889942558380859
26,0.5998,0.5551900083340141,0.598676365230196,0.8870482597182959
27,0.6006,0.5561787807807596,0.5985518352761249,0.8897080391790066
28,0.6006,0.5558096838294737,0.5950380087737407,0.890689874343751
29,0.6124,0.5689304329041064,0.6088417806917398,0.8904378526878681
30,0.6082,0.5642659414842708,0.6076924838721472,0.890655731549733
31,0.6098,0.5662182919592573,0.6061154140293371,0.8906746517907468
32,0.6142,0.5709810503640284,0.6108577969148884,0.8922450082070064
33,0.6144,0.5713537392322614,0.6128534682051677,0.8898435069024472
34,0.6266,0.5847850674034855,0.624152802209702,0.8920817093264277
35,0.6216,0.5790119300939246,0.6172856697330974,0.8907971922443106
36,0.6226,0.5804540163132574,0.6179164241958857,0.8930457626173866
37,0.619,0.5763367325867699,0.616703496117118,0.8919387319278534
38,0.6158,0.5727850340103114,0.6152317773173062,0.891457083678685
39,0.6266,0.5848628682348079,0.6230676076383567,0.8936362939231122
40,0.6174,0.5745795922961284,0.6169995456676783,0.8911249278894778
41,0.6196,0.5770915159692209,0.619027916689837,0.8915308210633348
42,0.6238,0.5817508983240438,0.6204096222357879,0.8914925405240861
43,0.6264,0.5846582890942905,0.6269009611357638,0.893463718911289
44,0.6198,0.5775311895305888,0.6163213784965037,0.8929704995768719
45,0.6248,0.5829402641285959,0.6226735111565855,0.8914642815724446
46,0.6314,0.5902407382043329,0.6272849621824225,0.8918949409104673
47,0.6252,0.5834408469135233,0.6254346997112415,0.8916884215909148
48,0.6316,0.5905856506496288,0.6324360809482001,0.8929014278817449
49,0.6238,0.5818750209087916,0.6220000169250613,0.8923046092765113
50,0.628,0.5865728721238974,0.6240170076389537,0.8932611178490333
