rounds,accuracy,kappa,f1_score,roc_auc
1,0.18388966620027983,0.08890050266214014,0.0732568881161983,0.7670761226005545
2,0.3819708175094943,0.3041061177342747,0.3210758949695666,0.8137731016754576
3,0.43174095542674396,0.35765541332548195,0.3652881569529091,0.8338613201925251
4,0.4577253647811313,0.38682814016158207,0.3987926339721834,0.8429838744860658
5,0.46971816909854086,0.3994993290124296,0.4077745388840775,0.8491031110173523
6,0.4717169698181091,0.4022730727639314,0.41359251013913245,0.8508806099343412
7,0.4883070157905257,0.4206429142096,0.435081751973505,0.8568519834585859
8,0.49890065960423746,0.43210650864172107,0.4378786270825191,0.8602298186305398
9,0.5044973016190286,0.43829981102448357,0.4452434501711732,0.8626235554966263
10,0.520087947231661,0.45485235598795304,0.4525558403699609,0.8650671280584716
11,0.5210873475914451,0.4571701277576754,0.46078342661661187,0.8687036656789519
12,0.5380771537077753,0.474751422969783,0.46634329743944,0.871705296554949
13,0.5392764341395163,0.47751510700956773,0.48614430809647247,0.8755816400812959
14,0.5398760743553868,0.4784328251376761,0.48726357002920756,0.875878136731788
15,0.5480711573056166,0.48733136043004954,0.4965064890753419,0.8786568498201859
16,0.5596642014791126,0.49951374636894735,0.4985544377751745,0.8781863308156665
17,0.5588646811912852,0.49864488688305475,0.5024348193724004,0.8807138975916363
18,0.5604637217669398,0.5003533494400464,0.49871128127818487,0.8832520937082129
19,0.566060363781731,0.5058192848913938,0.497264038275462,0.8829400055813514
20,0.5790525684589246,0.5201123433661258,0.5137969897245379,0.8894412961142953
21,0.5738556865880472,0.5152285976004746,0.5173166552525121,0.8837727559614692
22,0.5804517289626224,0.5221861560635312,0.518201728173279,0.8857560221593433
23,0.5960423745752549,0.5395273643055439,0.5295440462060395,0.8861847194734617
24,0.5978412952228663,0.5415052724021521,0.5366581064282209,0.8891175804082816
25,0.5908454927043774,0.5337047425278512,0.5282939885656848,0.8862796289905358
26,0.5910453727763342,0.53373471408338,0.5271048344840008,0.8904879514202078
27,0.5988406955826504,0.5424270909914992,0.5320291537030153,0.8894586250568677
28,0.6084349390365781,0.5530454450400378,0.541326586591245,0.8901479066347141
29,0.603837697381571,0.5478003716710158,0.5391372715403062,0.8898858456621633
30,0.5954427343593843,0.5387150376767471,0.5374425350511791,0.8899488737282223
31,0.6064361383170098,0.5506003484566032,0.543165476762341,0.8906510400688565
32,0.61083349990006,0.5550422679960421,0.5444589203631589,0.8937055760383514
33,0.6098340995402758,0.5547322790571165,0.5456503469737191,0.8909551681693662
34,0.6098340995402758,0.5550464616748827,0.5439261448187729,0.8917874506801476
35,0.6148311013391965,0.5597565994476431,0.547837093423243,0.8920156735856513
36,0.6198281031381171,0.5656242925253419,0.5585906140491715,0.8926098935517514
37,0.6158305016989806,0.5613992770389421,0.5567984612450234,0.8923371793980963
38,0.6162302618428943,0.5619676203223198,0.5558497278721338,0.8925905117624808
39,0.6116330201878872,0.5567531890315092,0.5521052986168443,0.8930650393505658
40,0.6058364981011393,0.5505355969296781,0.5505146181480643,0.8932763401677547
41,0.6174295422746352,0.5634564706846632,0.5593228390100003,0.8934507835255323
42,0.6190285828502898,0.5646073118892603,0.5546717977210873,0.8950005555311783
43,0.6138317009794123,0.5588217582859402,0.5483757080484329,0.8950259780425737
44,0.613032180691585,0.5579157996337587,0.5489710541268608,0.8922106123009386
45,0.6208275034979013,0.567029205131993,0.5584513923173372,0.8937832263390783
46,0.6180291824905056,0.5640446217228087,0.5569796450026399,0.8908834679986375
47,0.6232260643613832,0.5698644905417041,0.5617433072959538,0.8945612867305838
48,0.6252248650809514,0.5716712247003622,0.5615397270835075,0.8952395517848445
49,0.6192284629222466,0.5653449434384665,0.5594643645779069,0.8902474858105776
50,0.6164301419148511,0.5623480202690019,0.5597594230440417,0.8920592299010948
