rounds,accuracy,kappa,f1_score,roc_auc
1,0.3172,0.24053906896346472,0.28551306516642205,0.7682640845256514
2,0.396,0.32918690638623355,0.3742167207770941,0.8160492640918057
3,0.4226,0.3587352718860431,0.4080616203185311,0.8319358164179186
4,0.446,0.38473583922213694,0.4257459482992567,0.8399681379424243
5,0.4594,0.39970943263283293,0.4486712077382319,0.8484421925437893
6,0.4696,0.4111300125714036,0.4650236554765898,0.8517288503681948
7,0.4988,0.44281737341935823,0.48457912307784645,0.8571814492956262
8,0.5146,0.4604075154200631,0.5020918034610455,0.8618010070637534
9,0.5128,0.4584868237769805,0.5084880369527042,0.8631666804325656
10,0.5092,0.4545903163020863,0.5080831227301609,0.86244411783002
11,0.5292,0.47683420942299165,0.5255150976251799,0.8677992942048229
12,0.5454,0.49481899651281,0.5394984416888752,0.8684821468196862
13,0.5484,0.49835799885212545,0.5415603553402725,0.8686877350719716
14,0.5476,0.49776579190060294,0.5442080904675672,0.8723053454703058
15,0.5508,0.5010123355411971,0.5477086384426675,0.8725167247070834
16,0.549,0.4989567019814001,0.5491130980375104,0.872143957640667
17,0.562,0.5132439004934297,0.5611261208978559,0.8745074420798606
18,0.5682,0.5200409198651903,0.5652232052586517,0.8772876243734968
19,0.5584,0.5091652765124136,0.5527517794985298,0.8773468615320086
20,0.5686,0.5207031926296887,0.5665704648327223,0.8766119567433718
21,0.567,0.5186119534276123,0.5642099258592845,0.8797330197388925
22,0.575,0.5277022107956658,0.5723270819327202,0.881303447280684
23,0.5814,0.5348105869660637,0.5799808083986729,0.8837582572819154
24,0.5868,0.54083834628102,0.5826744235940499,0.8807322839563514
25,0.5936,0.5482961647560359,0.5909543534191661,0.8840969188045709
26,0.5892,0.5433594246751764,0.5831396113233214,0.8854677370320653
27,0.5898,0.5443370256038714,0.5932555185826291,0.8849969049796604
28,0.598,0.5530907144494287,0.5958490271277394,0.8850770709538972
29,0.6006,0.555962494024339,0.6001321836400795,0.8861717275044856
30,0.6046,0.5605395421860635,0.600049428589354,0.8862542692453029
31,0.603,0.5587600060708161,0.6035796953968584,0.8867791336525702
32,0.6028,0.5584649794002283,0.6033920470347155,0.8871098363605207
33,0.5988,0.5541217916560643,0.599579833651955,0.8859714651739128
34,0.608,0.5644106829212571,0.6073503026504542,0.8873580943308677
35,0.611,0.567713632842629,0.6116543844712713,0.8888006217178561
36,0.6154,0.5726914905184278,0.6172849452405298,0.8855854918625017
37,0.617,0.5743094465749399,0.6194941177058513,0.8851825667090576
38,0.6164,0.5736778375303146,0.6171639029507225,0.8864276520591402
39,0.6182,0.5755582132168231,0.6184725122940875,0.8860894343290485
40,0.622,0.5797030592213378,0.6225882237350544,0.888509380594785
41,0.614,0.5708330202970987,0.6165873455683295,0.8875089020943635
42,0.6238,0.5817860447982421,0.6220615411379171,0.8892859336575731
43,0.6196,0.5771618389973169,0.6222542510777637,0.8876644698502066
44,0.62,0.5775999386891523,0.6217926261706063,0.8882944198342919
45,0.6174,0.5749379519363159,0.6172710772344947,0.8852686449838969
46,0.6266,0.5848436669413551,0.6243366357419675,0.8887570256857829
47,0.6174,0.5747017674011738,0.6176538126164849,0.8872014866217892
48,0.6148,0.5718147829266996,0.6155448641490644,0.8881666676442793
49,0.6172,0.5747117094497131,0.6193940737689477,0.888910251778445
50,0.6236,0.5816256427085372,0.6239763715338298,0.8880954498863405
