rounds,accuracy,kappa,f1_score,roc_auc
1,0.22786328203078154,0.14008004447357417,0.11001621052255026,0.7624593590067454
2,0.32600439736158304,0.24209279876412276,0.24998776270748754,0.7958722040384525
3,0.3919648211073356,0.31411592012414574,0.33926051754158804,0.8168120891935802
4,0.4241455126923846,0.3497732419732845,0.36685084549667496,0.8286669787221271
5,0.46691984809114534,0.39561379446413497,0.392668538486525,0.8440126806411908
6,0.46871876873875673,0.3995078441416095,0.4111162944818388,0.8503608144377364
7,0.48630821507095745,0.4170334204802502,0.4227489346269685,0.8559823668841979
8,0.5102938237057766,0.4436365020536492,0.44841874748702315,0.8626485408788934
9,0.5210873475914451,0.4556250144894632,0.455754915560349,0.865845366242017
10,0.5122926244253448,0.4468787528494685,0.4520602288401369,0.8677470104020458
11,0.5388766739956027,0.4748876103842317,0.46970428643999423,0.8692247495697101
12,0.5420747551469118,0.47908252989411526,0.4800365651383607,0.8721505258392525
13,0.5422746352188687,0.47939850743574774,0.48172168175783925,0.871003095528525
14,0.5500699580251849,0.48784139954117345,0.4893951937703768,0.8744028587959801
15,0.5562662402558465,0.494659315259287,0.4984219155705859,0.878201120264753
16,0.56486108334999,0.5044122249880083,0.50323808392138,0.8777805474327859
17,0.5650609634219468,0.5045434021908464,0.4989948708284359,0.8829282906492596
18,0.5760543673795723,0.5167340536365572,0.5135569880189689,0.8833467868442121
19,0.5734559264441336,0.5142034393062405,0.5143807535771244,0.8807173335592874
20,0.5876474115530682,0.5298290834033265,0.5258005917968915,0.8828303917882706
21,0.5770537677393563,0.5172981400096859,0.5150478721039065,0.8812934325273095
22,0.5860483709774136,0.527753773112266,0.5256931819292683,0.8830121989384128
23,0.5870477713371977,0.5293973690483319,0.5274698154407077,0.8832152060000843
24,0.5942434539276434,0.536617546020059,0.5320276775603331,0.8881619144311239
25,0.5948430941435139,0.538125253231411,0.5354616600108832,0.8899893532998736
26,0.5774535278832701,0.5191793519776904,0.5226527510604603,0.8881834302493354
27,0.5892464521287227,0.5315456972342804,0.5308978875116867,0.8899796603317047
28,0.5950429742154707,0.5380008866243217,0.5391277477515738,0.8892245860577535
29,0.6044373375974416,0.5484631602928377,0.5383480340300238,0.8870673882685992
30,0.6056366180291824,0.5500043683408147,0.543502783242682,0.8905671563454414
31,0.5920447731361184,0.5348163627977982,0.5325423114706788,0.8898818752352243
32,0.6056366180291824,0.5495959784060617,0.5390914418069154,0.8919220478749169
33,0.5984409354387368,0.5418201657263847,0.5378692894729284,0.8926301791927832
34,0.6080351788926645,0.5524061112067497,0.5458752619465814,0.8880889173296596
35,0.6180291824905056,0.5635813373857987,0.5562873571721499,0.890153123944554
36,0.6140315810513691,0.5591630912878917,0.5495847324393863,0.8893849361496193
37,0.6098340995402758,0.5547216576538908,0.5502760940579171,0.8940592155342655
38,0.6164301419148511,0.5618031335873341,0.5523570910731351,0.8916934030959056
39,0.6140315810513691,0.5590072376291896,0.5492438539280672,0.8898023265770322
40,0.6148311013391965,0.5601861771626252,0.5516664730187286,0.8910543276454888
41,0.6184289426344194,0.5641754017013423,0.5528636794403732,0.8921542848002709
42,0.6204277433539876,0.5662135223619522,0.5535827421738279,0.889997853500861
43,0.6098340995402758,0.5543925415962263,0.5432166729478111,0.8889379224306925
44,0.6174295422746352,0.5630770888097539,0.5527113566195782,0.8900536737969362
45,0.6086348191085349,0.5528972170011016,0.5463112038170905,0.8884785521485754
46,0.6206276234259445,0.5665757071787146,0.5554342751999758,0.8928805760947348
47,0.6204277433539876,0.5659323604921637,0.5530973716918433,0.890417269446226
48,0.6170297821307216,0.5623918553301449,0.5571760133461291,0.8894666846751561
49,0.6146312212672397,0.5594165242514314,0.554963329700833,0.8902766222168623
50,0.6192284629222466,0.5648446116955016,0.5571442159053516,0.8909317898882513
