rounds,accuracy,kappa,f1_score,roc_auc,Scenario
1,0.3102,0.2354878382313436,0.2907909902812197,0.7803307615896359,Baseline_IID
2,0.41,0.3440704439466416,0.3923208325920206,0.8170388380954904,Baseline_IID
3,0.4344,0.3713806217854958,0.4276919142018564,0.8282467458696546,Baseline_IID
4,0.4478,0.3865577013065521,0.4342733149878455,0.8374375375004772,Baseline_IID
5,0.4744,0.415536482863517,0.4675969338692061,0.8439773118596787,Baseline_IID
6,0.4944,0.4377078741777828,0.4870023816553591,0.8523269567588397,Baseline_IID
7,0.5024,0.4470317520751817,0.4919064356955395,0.8589064387618999,Baseline_IID
8,0.5234,0.4701417916826513,0.5169511480089017,0.861084106277408,Baseline_IID
9,0.5194,0.4657218889356815,0.5061324550586948,0.8619244549771301,Baseline_IID
10,0.5366,0.4845686421833312,0.5266526308943017,0.8678209308351077,Baseline_IID
11,0.54,0.4889205494263126,0.5370821829231262,0.8705515701861277,Baseline_IID
12,0.5488,0.498423589135669,0.5437017440482941,0.8725060847191538,Baseline_IID
13,0.547,0.4965952676310784,0.544747052992321,0.8743344875442591,Baseline_IID
14,0.5566,0.5071111480414531,0.5522838482036236,0.8744081521406908,Baseline_IID
15,0.5646,0.516105143317802,0.5591528823076687,0.8786907563228104,Baseline_IID
16,0.5744,0.52675614878946,0.572140409906323,0.879303882182537,Baseline_IID
17,0.5702,0.5219568351278766,0.5676595509555409,0.882090312615306,Baseline_IID
18,0.5776,0.5303703629494244,0.5714015680655344,0.8802641461399467,Baseline_IID
19,0.5838,0.5372360632440707,0.5769547068622095,0.8810161689936044,Baseline_IID
20,0.5838,0.5371938730730974,0.5775777692451758,0.8862671530199326,Baseline_IID
21,0.5794,0.5324115745278323,0.5761737332606562,0.8840378175129665,Baseline_IID
22,0.5876,0.5413607817708601,0.584810054587626,0.8847448197657188,Baseline_IID
23,0.5982,0.5532687896556988,0.5950153699153611,0.8866401992287767,Baseline_IID
24,0.5914,0.545477818543084,0.5900042674698354,0.8861691304802807,Baseline_IID
25,0.6046,0.5604348316791656,0.6018107331766662,0.8889942558380859,Baseline_IID
26,0.5998,0.5551900083340141,0.598676365230196,0.8870482597182959,Baseline_IID
27,0.6006,0.5561787807807596,0.5985518352761249,0.8897080391790066,Baseline_IID
28,0.6006,0.5558096838294737,0.5950380087737407,0.890689874343751,Baseline_IID
29,0.6124,0.5689304329041064,0.6088417806917398,0.8904378526878681,Baseline_IID
30,0.6082,0.5642659414842708,0.6076924838721472,0.890655731549733,Baseline_IID
31,0.6098,0.5662182919592573,0.6061154140293371,0.8906746517907468,Baseline_IID
32,0.6142,0.5709810503640284,0.6108577969148884,0.8922450082070064,Baseline_IID
33,0.6144,0.5713537392322614,0.6128534682051677,0.8898435069024472,Baseline_IID
34,0.6266,0.5847850674034855,0.624152802209702,0.8920817093264277,Baseline_IID
35,0.6216,0.5790119300939246,0.6172856697330974,0.8907971922443106,Baseline_IID
36,0.6226,0.5804540163132574,0.6179164241958857,0.8930457626173866,Baseline_IID
37,0.619,0.5763367325867699,0.616703496117118,0.8919387319278534,Baseline_IID
38,0.6158,0.5727850340103114,0.6152317773173062,0.891457083678685,Baseline_IID
39,0.6266,0.5848628682348079,0.6230676076383567,0.8936362939231122,Baseline_IID
40,0.6174,0.5745795922961284,0.6169995456676783,0.8911249278894778,Baseline_IID
