rounds,accuracy,kappa,f1_score,roc_auc
1,0.309,0.22959085743627758,0.2696936601036843,0.7714750977238055
2,0.4032,0.33606559378201395,0.39008800570003016,0.8110588199242974
3,0.4268,0.3627989521982296,0.42073524286852326,0.8293416600391167
4,0.4456,0.3833520642071231,0.42837154138185096,0.8379417217064329
5,0.4582,0.3979900956128584,0.4400921898987299,0.8460058029824672
6,0.4772,0.41895847354199367,0.4707626611004802,0.8508481212808033
7,0.4946,0.4386759263141559,0.48727056238197003,0.854546582560792
8,0.505,0.4498992745100706,0.4985411211775933,0.8583121105505137
9,0.5116,0.45737695889493224,0.5064668962843888,0.8591928113891878
10,0.5268,0.47399562477946294,0.522393089522067,0.8640487626901264
11,0.527,0.4741143115890594,0.5199727136515911,0.8670798345854468
12,0.5392,0.4874610772205807,0.5338541512350757,0.8690050553446214
13,0.5418,0.4907043716002164,0.5354030631379701,0.8699807526723206
14,0.5472,0.496400685003293,0.5383160568640062,0.8742412062653513
15,0.5596,0.5102154367701827,0.5539226374050984,0.8784462803913388
16,0.5622,0.5133733777467405,0.5609686654459857,0.8774765082828165
17,0.5682,0.5197549008598978,0.5666433847902977,0.8786989012265847
18,0.5668,0.5185969304414172,0.5608125075447029,0.8815926182141067
19,0.5704,0.5222235418729418,0.5580847257917984,0.8820645334849645
20,0.579,0.5319316496844287,0.575068203880503,0.8828010920000617
21,0.5818,0.5352629895486907,0.5792795456000542,0.884438977503919
22,0.5904,0.5444987070520971,0.5901892655514738,0.8858064822034972
23,0.5852,0.5389987701537977,0.5821673767629373,0.8852357898537876
24,0.5974,0.5523474118300226,0.5959455271467404,0.8876544800023508
25,0.5966,0.5515606911010764,0.5964325125045598,0.8874694181025908
26,0.5886,0.5430031420818724,0.5860704665401838,0.8858440779361146
27,0.5982,0.553323186543687,0.5960887222512818,0.8881243112068199
28,0.5984,0.5533505630104318,0.5963172505009013,0.889666043522679
29,0.6026,0.5581698260802684,0.6032465279348249,0.890794322695291
30,0.6046,0.5603136250028363,0.6023403445061105,0.8888341196135087
31,0.611,0.5674509051188744,0.6064430096713731,0.8904512161088043
32,0.6116,0.5681404287061819,0.6101858957393405,0.8925313351503877
33,0.6016,0.5572023366259257,0.6000382540204072,0.8890563891474671
34,0.613,0.5697037548975568,0.609823161626142,0.8931264133160653
35,0.6114,0.5680347123370171,0.6106929872486773,0.8917189196745945
36,0.6102,0.566429190324391,0.6089733315477771,0.8913373377738332
37,0.6146,0.5715060260637184,0.6124808077811845,0.8934267784489616
38,0.6204,0.5780028843002277,0.6192998793802696,0.8910918411397479
39,0.6206,0.5782749263947752,0.6195667382121597,0.891949883060399
40,0.6156,0.5727175064794857,0.6138814844771978,0.8907717969004956
41,0.6094,0.5657147390085637,0.6083441796763094,0.8922392361746363
42,0.619,0.5764779569083092,0.6150962228352975,0.8926674917761133
43,0.6144,0.5713514875353016,0.6085498089235977,0.8911608398745099
44,0.6196,0.5771464849535427,0.6211874183245435,0.8923723353593116
45,0.6188,0.5761393736805509,0.6165711576013144,0.8928971819067834
46,0.6126,0.5691837017901645,0.6132543090593816,0.8912239831235269
47,0.6228,0.5806133455773306,0.6206578335440043,0.8912355016477864
48,0.62,0.5773839732282928,0.6197623507326553,0.8926156889939751
49,0.6198,0.5773980614971677,0.6153909136941739,0.89066527799661
50,0.6206,0.5781658723153401,0.620593006778245,0.8915359419932684
