rounds,accuracy,kappa,f1_score,roc_auc
1,0.321,0.24477495344541203,0.28558477475994815,0.7619450865463643
2,0.3692,0.2984817531900069,0.32625825294349237,0.8102687948590613
3,0.4102,0.34496942707780354,0.38287588257695404,0.8277184471633476
4,0.4566,0.3961285826153422,0.4372195413304904,0.8412128533125979
5,0.466,0.4061748136731443,0.4513142365571008,0.8473042958258793
6,0.47,0.41108953282690164,0.44536208361784246,0.8531286406548405
7,0.49,0.4334363168143109,0.48761154595747314,0.8531690473592365
8,0.4852,0.42808410394456803,0.47535427684478154,0.8529619085392164
9,0.505,0.44988881097518413,0.49172974997433394,0.8585972206821465
10,0.5176,0.4635471133511372,0.5069378758162402,0.8646057343098859
11,0.5194,0.465927247316239,0.5123817850011197,0.8657841759493676
12,0.5274,0.47436683908134203,0.5219809914463464,0.8662450233251957
13,0.5304,0.4782441144735947,0.5301148048908177,0.869701253095569
14,0.5418,0.49104119206361974,0.5433504617583413,0.8716894931846022
15,0.5452,0.49451898417023865,0.5441387308428097,0.8726265157383772
16,0.5462,0.4957120073805036,0.5411936750952644,0.870603130637257
17,0.5612,0.5125356730679116,0.557564981229718,0.8749597756353167
18,0.558,0.5089759111651005,0.5583132159397229,0.8772334795730602
19,0.5626,0.5139483966889866,0.5624305254601654,0.8816174387642693
20,0.564,0.5156001478213748,0.5616280751633014,0.8832407842173994
21,0.567,0.5186681980502326,0.5572164340270221,0.8828308373808688
22,0.5684,0.5203202479972145,0.5711654133696167,0.8824868942430232
23,0.5784,0.5316028248607876,0.5746268478782505,0.8863933624003223
24,0.5796,0.5327258388921391,0.5763906478998725,0.8855829300704215
25,0.5796,0.5329063011033979,0.5763748931955314,0.8855842437614921
26,0.575,0.5278939357795376,0.5710905729277131,0.8860778545634719
27,0.5844,0.5382178735842075,0.5828195032017826,0.885494563431929
28,0.5818,0.5353014035525739,0.5796436276049358,0.8894462076762797
29,0.5914,0.545733295259174,0.5925267160229215,0.8892634317232445
30,0.592,0.5465503878099255,0.5891719287428077,0.8914891497254226
31,0.5926,0.5471798486221613,0.5902619524783658,0.8911286867033792
32,0.591,0.5457270323594852,0.595585027638153,0.8941736823324069
33,0.601,0.5565526189977132,0.6015314127451369,0.8946401522957843
34,0.5984,0.5537420347173542,0.598026082902109,0.8935315361245646
35,0.5928,0.5475638116770902,0.5912894808914827,0.8932008874981097
36,0.592,0.5466887382504934,0.5911061662073988,0.8937286950763719
37,0.6056,0.5616425174867727,0.6050509215528304,0.897724223971417
38,0.6132,0.5701078099457062,0.6126497469790259,0.8958814092164482
39,0.6012,0.5569878275797874,0.6017459739074584,0.8965363249614698
40,0.6126,0.5693725481797752,0.6102987845224591,0.8960593934379889
41,0.6084,0.5649327573401194,0.6058636455912741,0.8965730212605689
42,0.61,0.5667574240106116,0.6066219427871216,0.8970080364185895
43,0.6116,0.5682733056866056,0.6090139923279198,0.8990620588981021
44,0.5998,0.5553244325533224,0.6013963671337227,0.8961134852563318
45,0.6052,0.5613691835117127,0.6040460642975588,0.8989931813143441
46,0.613,0.5699649945771936,0.6106439658873088,0.8984845498135934
47,0.6254,0.5836759265164922,0.6256803431617107,0.8990005647013343
48,0.619,0.5765816559555895,0.6186661113773112,0.8976576849343346
49,0.609,0.5654774795133699,0.6072222711288745,0.8986652035187964
50,0.6204,0.578177153102651,0.6182044020889015,0.8987974011487473
