rounds,accuracy,kappa,f1_score,roc_auc
1,0.2892,0.20959517565718733,0.2587729632899743,0.7596119203341042
2,0.364,0.2942293449292959,0.349338897571759,0.7905095342322035
3,0.3824,0.31407312556313266,0.3643254017178814,0.8137666511562174
4,0.412,0.3470176075209535,0.40105659776679475,0.8253347513063031
5,0.4368,0.37390675928758965,0.4279350850347113,0.8310289750763759
6,0.4506,0.3890747157946236,0.4402152025170197,0.8396444339232365
7,0.4608,0.4008894941574843,0.45108035054867257,0.8429313350321852
8,0.467,0.4079212771766941,0.4565541282763732,0.8425155932019367
9,0.494,0.4377557638571476,0.4911287871805689,0.8449335456671823
10,0.4834,0.4261725428094362,0.4788475302011109,0.8513904936786112
11,0.5042,0.44897283654932035,0.4922333925394645,0.8550500976666917
12,0.5106,0.4560956243399365,0.5029334844610497,0.860767430792308
13,0.51,0.4556776407329884,0.5069386620705658,0.8578835551369888
14,0.5232,0.4701414621835841,0.5179695323867118,0.8630736572669181
15,0.5186,0.46534192302641325,0.5122753260897299,0.8627794005197625
16,0.5232,0.47055839042108843,0.5171342746237073,0.8603138868344651
17,0.5352,0.48313256872723703,0.5272660475161217,0.8668529533853955
18,0.5314,0.4795367948260726,0.5263355783511077,0.8680365326011322
19,0.533,0.4810860610509751,0.5339175668252272,0.8702638221935615
20,0.5262,0.47380012682745154,0.5218679517146751,0.8682385495717144
21,0.5474,0.49707986273317617,0.542460959713355,0.870012246718953
22,0.5602,0.5112939838327957,0.5565612561532571,0.8728479822570735
23,0.5586,0.5098708403342672,0.5617310720427229,0.8702155079079441
24,0.561,0.5123817635161414,0.563323853748452,0.8768502101035508
25,0.5662,0.5181015720100636,0.5654254692171985,0.8763560657396346
26,0.5534,0.5039230923171458,0.5577352112948192,0.8759277165396485
27,0.559,0.5098785485474195,0.5653960980199894,0.8789618142427631
28,0.5674,0.5192853863335677,0.570063928562311,0.8769979092490452
29,0.558,0.5090828296756399,0.5606482362656035,0.8746507821225267
30,0.5386,0.48755605857667594,0.5403836270041438,0.8792622010082114
31,0.5772,0.5301314151533537,0.5781429395278762,0.8842869556693491
32,0.5826,0.5359011818497864,0.5786777024787731,0.8832278210829734
33,0.5732,0.5257058136749599,0.5727295257956675,0.880079338268055
34,0.586,0.539810472400301,0.5822439099365799,0.8844076964844051
35,0.5822,0.5356152467217703,0.5772939253096261,0.8803058165921628
36,0.573,0.5259603933635885,0.5695714962644269,0.8836044004327185
37,0.5824,0.5359164559901609,0.5736009626150975,0.881128607031356
38,0.5816,0.5349554620691856,0.5781584739088281,0.8813863400873546
39,0.57,0.5224809691227943,0.5647320403735011,0.8851038739163487
40,0.566,0.5182099987350193,0.5623954528952897,0.885128321170857
41,0.5818,0.5353150871435474,0.5820345063448622,0.8885538156688919
42,0.583,0.5367783193086967,0.5832370280658987,0.8855553124260894
43,0.5794,0.5328526648236226,0.5700308361480324,0.8891920602020018
44,0.5874,0.5415610821783848,0.5815407029718984,0.8900488027826626
45,0.5786,0.5316701772739357,0.5773158507489715,0.8879682101334582
46,0.5936,0.5484580632124441,0.5931770038603915,0.8917242069935608
47,0.5816,0.535180259306657,0.5744787114778216,0.890083097590713
48,0.5964,0.5515162271872137,0.5944430328440132,0.8919197113145981
49,0.5932,0.5480237987845794,0.5911031677682728,0.8926821346206867
50,0.5916,0.5460830460893105,0.5880711263440317,0.8914382401053784
