rounds,accuracy,kappa,f1_score,roc_auc,Scenario
1,0.309,0.2295908574362775,0.2696936601036843,0.7714750977238055,Baseline_IID
2,0.4032,0.3360655937820139,0.3900880057000301,0.8110588199242974,Baseline_IID
3,0.4268,0.3627989521982296,0.4207352428685232,0.8293416600391167,Baseline_IID
4,0.4456,0.3833520642071231,0.4283715413818509,0.8379417217064329,Baseline_IID
5,0.4582,0.3979900956128584,0.4400921898987299,0.8460058029824672,Baseline_IID
6,0.4772,0.4189584735419936,0.4707626611004802,0.8508481212808033,Baseline_IID
7,0.4946,0.4386759263141559,0.48727056238197,0.854546582560792,Baseline_IID
8,0.505,0.4498992745100706,0.4985411211775933,0.8583121105505137,Baseline_IID
9,0.5116,0.4573769588949322,0.5064668962843888,0.8591928113891878,Baseline_IID
10,0.5268,0.4739956247794629,0.522393089522067,0.8640487626901264,Baseline_IID
11,0.527,0.4741143115890594,0.5199727136515911,0.8670798345854468,Baseline_IID
12,0.5392,0.4874610772205807,0.5338541512350757,0.8690050553446214,Baseline_IID
13,0.5418,0.4907043716002164,0.5354030631379701,0.8699807526723206,Baseline_IID
14,0.5472,0.496400685003293,0.5383160568640062,0.8742412062653513,Baseline_IID
15,0.5596,0.5102154367701827,0.5539226374050984,0.8784462803913388,Baseline_IID
16,0.5622,0.5133733777467405,0.5609686654459857,0.8774765082828165,Baseline_IID
17,0.5682,0.5197549008598978,0.5666433847902977,0.8786989012265847,Baseline_IID
18,0.5668,0.5185969304414172,0.5608125075447029,0.8815926182141067,Baseline_IID
19,0.5704,0.5222235418729418,0.5580847257917984,0.8820645334849645,Baseline_IID
20,0.579,0.5319316496844287,0.575068203880503,0.8828010920000617,Baseline_IID
21,0.5818,0.5352629895486907,0.5792795456000542,0.884438977503919,Baseline_IID
22,0.5904,0.5444987070520971,0.5901892655514738,0.8858064822034972,Baseline_IID
23,0.5852,0.5389987701537977,0.5821673767629373,0.8852357898537876,Baseline_IID
24,0.5974,0.5523474118300226,0.5959455271467404,0.8876544800023508,Baseline_IID
25,0.5966,0.5515606911010764,0.5964325125045598,0.8874694181025908,Baseline_IID
26,0.5886,0.5430031420818724,0.5860704665401838,0.8858440779361146,Baseline_IID
27,0.5982,0.553323186543687,0.5960887222512818,0.8881243112068199,Baseline_IID
28,0.5984,0.5533505630104318,0.5963172505009013,0.889666043522679,Baseline_IID
29,0.6026,0.5581698260802684,0.6032465279348249,0.890794322695291,Baseline_IID
30,0.6046,0.5603136250028363,0.6023403445061105,0.8888341196135087,Baseline_IID
31,0.611,0.5674509051188744,0.6064430096713731,0.8904512161088043,Baseline_IID
32,0.6116,0.5681404287061819,0.6101858957393405,0.8925313351503877,Baseline_IID
33,0.6016,0.5572023366259257,0.6000382540204072,0.8890563891474671,Baseline_IID
34,0.613,0.5697037548975568,0.609823161626142,0.8931264133160653,Baseline_IID
35,0.6114,0.5680347123370171,0.6106929872486773,0.8917189196745945,Baseline_IID
36,0.6102,0.566429190324391,0.6089733315477771,0.8913373377738332,Baseline_IID
37,0.6146,0.5715060260637184,0.6124808077811845,0.8934267784489616,Baseline_IID
38,0.6204,0.5780028843002277,0.6192998793802696,0.8910918411397479,Baseline_IID
39,0.6206,0.5782749263947752,0.6195667382121597,0.891949883060399,Baseline_IID
40,0.6156,0.5727175064794857,0.6138814844771978,0.8907717969004956,Baseline_IID
41,0.6094,0.5657147390085637,0.6083441796763094,0.8922392361746363,Baseline_IID
42,0.619,0.5764779569083092,0.6150962228352975,0.8926674917761133,Baseline_IID
43,0.6144,0.5713514875353016,0.6085498089235977,0.8911608398745099,Baseline_IID
44,0.6196,0.5771464849535427,0.6211874183245435,0.8923723353593116,Baseline_IID
