rounds,accuracy,kappa,f1_score,roc_auc
1,0.3242,0.2476247389654256,0.2799772339284451,0.7701133728301951
2,0.3744,0.3041453116032042,0.33195754640452096,0.7975395418928768
3,0.409,0.3428425885984328,0.38971606794845104,0.8180099445192762
4,0.4298,0.36592137240514255,0.40889172306531246,0.825950205278889
5,0.4414,0.37937914735400885,0.42441380912556387,0.8326190716441703
6,0.47,0.4110769812197833,0.4633972221761035,0.8399555740786117
7,0.4678,0.4090072621211411,0.4650266186552608,0.842429039230134
8,0.4794,0.42137960016927645,0.4600063537466128,0.8489163391773363
9,0.4974,0.4412632124870512,0.4940710541406358,0.8509966711051126
10,0.507,0.4520702214428325,0.497646045083188,0.8557652138738678
11,0.5058,0.45092053999517273,0.49929472456249785,0.8522327045829874
12,0.5078,0.4534578733939864,0.4978946934221906,0.8566696304341307
13,0.5288,0.476524395069596,0.5181893836005068,0.8593604044860338
14,0.53,0.4780436989372437,0.5207164688854604,0.8589893194741774
15,0.5438,0.49332857396020574,0.5424865979540031,0.8642727752768121
16,0.5158,0.46265191554580914,0.5115299647363352,0.8592932936509357
17,0.5426,0.4920876899542925,0.5376848969113104,0.8692741041969897
18,0.5542,0.5044407476874392,0.5518057264121797,0.8680966613036275
19,0.549,0.49903760424863314,0.5494327340824282,0.870340744160959
20,0.5556,0.5064453160885065,0.5538712204391417,0.8693115024555061
21,0.5582,0.5094087576538041,0.5578122036093821,0.8699887375198697
22,0.553,0.5036377781224588,0.5486144353464362,0.8703025725451805
23,0.5666,0.5185304106549716,0.5680553094413553,0.8706623233099053
24,0.5684,0.5201702999688751,0.5660179466937636,0.8731473226669699
25,0.5704,0.5227918244560658,0.5671189733873634,0.8738132355305716
26,0.5772,0.5301358115776682,0.5766487602544508,0.8754989826865541
27,0.5792,0.5324091011134338,0.5740469250561008,0.8755822675789503
28,0.5822,0.5356025553349817,0.5806893518640517,0.8777304455760828
29,0.5814,0.5349360520527403,0.5797501303265619,0.8787189714277609
30,0.585,0.538638736704694,0.5866769727370521,0.8791468894194364
31,0.585,0.5389793240719515,0.5861393401564302,0.8761534522518135
32,0.5958,0.5506282718625516,0.5981875891267491,0.8790828476925284
33,0.5846,0.5384874520469548,0.5826053650694377,0.8786643905902256
34,0.5778,0.5308672974623678,0.5772079478012913,0.8797326274180832
35,0.5868,0.5410025165559489,0.587539233388988,0.8785354923881299
36,0.5868,0.5409670590759821,0.5865182216372328,0.8780733775491073
37,0.5922,0.5471979491392216,0.5926104055704184,0.8798291506769997
38,0.5966,0.5517956188381475,0.5935138943613165,0.8818487692264098
39,0.602,0.5575961145365276,0.5999663152043244,0.8824986374577002
40,0.602,0.5576054979208199,0.6008224841409993,0.8818177083000077
41,0.6028,0.5587479694768899,0.6009339417427875,0.8786706879300995
42,0.6032,0.5590752691378045,0.6018472408883672,0.8812142277149704
43,0.5986,0.5540709283916847,0.5976424024322912,0.8785920969916846
44,0.6016,0.5572019575641943,0.6027305401740143,0.878478909487439
45,0.598,0.5535242995795306,0.5994198261690119,0.8763299292457297
46,0.6088,0.5653543136485963,0.60852727041255,0.8782697202963009
47,0.6046,0.5608449843212393,0.6063789836601333,0.8826257039703698
48,0.62,0.5777244458611132,0.6191713457327559,0.8843684298113119
49,0.6072,0.5635990086541273,0.6068265805468865,0.8817410362523477
50,0.6096,0.5661238980698269,0.6106220746096952,0.8859649726707821
