rounds,accuracy,kappa,f1_score,roc_auc,Scenario
1,0.302,0.2239178746167891,0.2643417961316437,0.782459344899397,Baseline_IID
2,0.4096,0.3436804666043528,0.3941627427108823,0.8161752326298803,Baseline_IID
3,0.4198,0.3546117145232838,0.3940786621962726,0.8251518665035501,Baseline_IID
4,0.445,0.3831895076700422,0.4368477922413314,0.8370994976367132,Baseline_IID
5,0.469,0.4098569440209392,0.4540304917025138,0.847766589172191,Baseline_IID
6,0.4794,0.4215131665414082,0.4542122029631557,0.851767712844651,Baseline_IID
7,0.4932,0.4368431035673359,0.4901014395532815,0.8583549648402219,Baseline_IID
8,0.514,0.4600481325428856,0.5045652687183879,0.8593600614958459,Baseline_IID
9,0.5256,0.4727537446894643,0.5222198163261548,0.8643987727236437,Baseline_IID
10,0.535,0.4830454335579426,0.526164429921063,0.8696122966442336,Baseline_IID
11,0.545,0.4940391796517562,0.5321754806318811,0.8711006187272169,Baseline_IID
12,0.5548,0.5052273384158734,0.5547421027620206,0.8747483541968286,Baseline_IID
13,0.563,0.5143078803661487,0.5583065093495135,0.8754353073154969,Baseline_IID
14,0.5712,0.523124295134144,0.562487866920344,0.8787684346643948,Baseline_IID
15,0.567,0.5187298894000942,0.5633298500989729,0.8776746314323506,Baseline_IID
16,0.5774,0.530325781859211,0.5765143960525887,0.8816217404619688,Baseline_IID
17,0.5742,0.5270049577435271,0.5711188607181785,0.8842007175813822,Baseline_IID
18,0.5804,0.5333197713986908,0.5757831022512109,0.8830833845786498,Baseline_IID
19,0.5802,0.5331479810220838,0.5734215261323041,0.8833402274414677,Baseline_IID
20,0.5878,0.541207532004077,0.5882121560527195,0.8852366684574224,Baseline_IID
21,0.5952,0.5498258779963745,0.5930678907782115,0.8877595447878018,Baseline_IID
22,0.5982,0.5535381535809621,0.5961787290808644,0.8866829814917025,Baseline_IID
23,0.5988,0.5540506804772946,0.597135429275903,0.8879496907980858,Baseline_IID
24,0.6056,0.5616156423223252,0.6021090056879721,0.8896395228643785,Baseline_IID
25,0.6112,0.567721496058332,0.6100095195062601,0.8866516525849091,Baseline_IID
26,0.6094,0.5658273175961105,0.6054997846036756,0.88998476530319,Baseline_IID
27,0.606,0.5620060020852499,0.6053989874291702,0.8903507913308943,Baseline_IID
28,0.6198,0.5773367678972247,0.6197404640475211,0.8908737335268383,Baseline_IID
29,0.6114,0.5680803961193109,0.6068621962492216,0.8891064801228,Baseline_IID
30,0.6188,0.5760818161745853,0.6159488483781876,0.890339458330436,Baseline_IID
31,0.6182,0.5757628482761327,0.6136694024652374,0.8916588456920901,Baseline_IID
32,0.6174,0.574712466153211,0.6194644612979018,0.8912243944965856,Baseline_IID
33,0.622,0.5796809255031853,0.6177455006894991,0.8914372929691675,Baseline_IID
34,0.6248,0.5829825736532189,0.6224399160117702,0.8917769598375187,Baseline_IID
35,0.6252,0.5834974656182914,0.6240666947244002,0.8907154693769905,Baseline_IID
36,0.6204,0.5781107266659308,0.6179736197570493,0.8898747610767821,Baseline_IID
37,0.6244,0.5825122976690794,0.6208910545299502,0.8915733842852956,Baseline_IID
38,0.633,0.5920798418979286,0.629172145939467,0.8907454834602064,Baseline_IID
39,0.6274,0.5858909280712682,0.6260944381229603,0.892171070580372,Baseline_IID
40,0.6372,0.5965988959817105,0.6358633925289011,0.8921323054904223,Baseline_IID
41,0.633,0.5920048310919679,0.6301916842825072,0.8922818949713214,Baseline_IID
42,0.629,0.5873942298782494,0.6255406543123475,0.8900559929643632,Baseline_IID
43,0.6348,0.5939833036688745,0.6340298018041399,0.8906839332690786,Baseline_IID
44,0.6372,0.5968039914805844,0.6346071107695387,0.8913261650192464,Baseline_IID
45,0.6438,0.6039638089392866,0.6415417041447559,0.892627088425727,Baseline_IID
46,0.6346,0.5937416723745812,0.6299971110581453,0.890529145546829,Baseline_IID
47,0.635,0.5941323675151305,0.6347078628201065,0.892446981060067,Baseline_IID
48,0.6366,0.596056702806483,0.6354739780205056,0.8914928417741478,Baseline_IID
49,0.6306,0.589376427377175,0.6299069353600487,0.8924308450665436,Baseline_IID
50,0.6378,0.5971638264101344,0.6402433799511693,0.8922623766794826,Baseline_IID
1,0.3242,0.2476247389654256,0.2799772339284451,0.7701133728301951,One_Attacker_IID
2,0.3744,0.3041453116032042,0.3319575464045209,0.7975395418928768,One_Attacker_IID
3,0.409,0.3428425885984328,0.389716067948451,0.8180099445192762,One_Attacker_IID
4,0.4298,0.3659213724051425,0.4088917230653124,0.825950205278889,One_Attacker_IID
5,0.4414,0.3793791473540088,0.4244138091255638,0.8326190716441703,One_Attacker_IID
6,0.47,0.4110769812197833,0.4633972221761035,0.8399555740786117,One_Attacker_IID
7,0.4678,0.4090072621211411,0.4650266186552608,0.842429039230134,One_Attacker_IID
8,0.4794,0.4213796001692764,0.4600063537466128,0.8489163391773363,One_Attacker_IID
